FOOD_TYPE_FILLED, PRICE_FILLED, LOCATION_FILLED, FOOD_TYPE_CONF, PRICE_CONF, LOCATION_CONF, BEST_ACTION
0,0,0,0,0,0,REQUEST_FOOD_TYPE
0,0,1,0,0,0,REQUEST_FOOD_TYPE
0,0,1,0,0,1,REQUEST_FOOD_TYPE
0,1,0,0,0,0,REQUEST_FOOD_TYPE
0,1,0,0,1,0,REQUEST_LOCATION
0,1,1,0,0,0,REQUEST_FOOD_TYPE
0,1,1,0,0,1,REQUEST_FOOD_TYPE
0,1,1,0,1,0,EXPLICIT_CONFIRM_LOCATION
0,1,1,0,1,1,REQUEST_FOOD_TYPE
1,0,0,0,0,0,REQUEST_LOCATION
1,0,0,1,0,0,REQUEST_LOCATION
1,0,1,0,0,0,EXPLICIT_CONFIRM_LOCATION
1,0,1,0,0,1,REQUEST_PRICE
1,0,1,1,0,0,EXPLICIT_CONFIRM_LOCATION
1,0,1,1,0,1,REQUEST_PRICE
1,1,0,0,0,0,REQUEST_LOCATION
1,1,0,0,1,0,REQUEST_LOCATION
1,1,0,1,0,0,REQUEST_LOCATION
1,1,0,1,1,0,REQUEST_LOCATION
1,1,1,0,0,0,EXPLICIT_CONFIRM_LOCATION
1,1,1,0,0,1,EXPLICIT_CONFIRM_PRICE
1,1,1,0,1,0,EXPLICIT_CONFIRM_LOCATION
1,1,1,0,1,1,EXPLICIT_CONFIRM_FOOD
1,1,1,1,0,0,EXPLICIT_CONFIRM_LOCATION
1,1,1,1,0,1,EXPLICIT_CONFIRM_PRICE
1,1,1,1,1,0,EXPLICIT_CONFIRM_LOCATION
1,1,1,1,1,1,REQUEST_FOOD_TYPE
